,geo_accession,Prediction_Result,Actual_in_Top_3,Actual,Top_Predictions,Disease_Name
312,GSM1464298,Correct,Yes,LUNG NEOPLASMS,"[(99.83, 'LUNG NEOPLASMS'), (0.13, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.04, 'LUNG DISEASES')]",SMALL CELL LUNG CANCER
313,GSM2307423,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.95, 'LUNG DISEASES, INTERSTITIAL'), (0.03, 'CONTROL - LUNG'), (0.01, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS')]",IDIOPATHIC PULMONARY FIBROSIS
314,GSM2307426,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.98, 'LUNG DISEASES, INTERSTITIAL'), (0.01, 'CONTROL - LUNG'), (0.01, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS')]",IDIOPATHIC PULMONARY FIBROSIS
315,GSM2307427,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.95, 'LUNG DISEASES, INTERSTITIAL'), (0.03, 'CONTROL - LUNG'), (0.01, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS')]",IDIOPATHIC PULMONARY FIBROSIS
316,GSM2307435,Correct,Yes,CONTROL - LUNG,"[(99.81, 'CONTROL - LUNG'), (0.18, 'LUNG DISEASES, INTERSTITIAL'), (0.01, 'CONTROL - FIBROBLASTS')]",IDIOPATHIC PULMONARY FIBROSIS
317,GSM1464300,Correct,Yes,LUNG NEOPLASMS,"[(99.95, 'LUNG NEOPLASMS'), (0.04, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'LUNG DISEASES')]",SMALL CELL LUNG CANCER
318,GSM2307452,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.96, 'LUNG DISEASES, INTERSTITIAL'), (0.04, 'CONTROL - LUNG'), (0.0, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS')]",IDIOPATHIC PULMONARY FIBROSIS
319,GSM2307453,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.95, 'LUNG DISEASES, INTERSTITIAL'), (0.04, 'CONTROL - LUNG'), (0.01, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS')]",IDIOPATHIC PULMONARY FIBROSIS
320,GSM2307454,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.99, 'LUNG DISEASES, INTERSTITIAL'), (0.0, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS'), (0.0, 'CONTROL - LUNG')]",IDIOPATHIC PULMONARY FIBROSIS
321,GSM2307456,Correct,Yes,CONTROL - LUNG,"[(97.6, 'CONTROL - LUNG'), (2.35, 'LUNG DISEASES, INTERSTITIAL'), (0.02, 'CONTROL - FIBROBLASTS')]",IDIOPATHIC PULMONARY FIBROSIS
322,GSM2307458,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.93, 'LUNG DISEASES, INTERSTITIAL'), (0.03, 'CONTROL - LUNG'), (0.02, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS')]",IDIOPATHIC PULMONARY FIBROSIS
323,GSM1250469,Correct,Yes,CONTROL - FIBROBLASTS,"[(99.63, 'CONTROL - FIBROBLASTS'), (0.11, 'LUNG NEOPLASMS'), (0.11, 'CONTROL - LUNG')]","AMYOTROPHIC LATERAL SCLEROSIS, FAMILIAL"
324,GSM2307466,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.95, 'LUNG DISEASES, INTERSTITIAL'), (0.03, 'CONTROL - LUNG'), (0.01, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS')]",IDIOPATHIC PULMONARY FIBROSIS
325,GSM2307469,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.98, 'LUNG DISEASES, INTERSTITIAL'), (0.01, 'CONTROL - LUNG'), (0.01, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS')]",IDIOPATHIC PULMONARY FIBROSIS
326,GSM2307472,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.94, 'LUNG DISEASES, INTERSTITIAL'), (0.04, 'CONTROL - LUNG'), (0.01, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS')]",IDIOPATHIC PULMONARY FIBROSIS
327,GSM2307473,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.97, 'LUNG DISEASES, INTERSTITIAL'), (0.02, 'CONTROL - LUNG'), (0.01, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS')]",IDIOPATHIC PULMONARY FIBROSIS
328,GSM2307474,Correct,Yes,CONTROL - LUNG,"[(99.96, 'CONTROL - LUNG'), (0.03, 'LUNG DISEASES, INTERSTITIAL'), (0.01, 'CONTROL - FIBROBLASTS')]",IDIOPATHIC PULMONARY FIBROSIS
329,GSM2307476,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.97, 'LUNG DISEASES, INTERSTITIAL'), (0.02, 'CONTROL - LUNG'), (0.0, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS')]",IDIOPATHIC PULMONARY FIBROSIS
330,GSM2307477,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.98, 'LUNG DISEASES, INTERSTITIAL'), (0.01, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS'), (0.01, 'CONTROL - LUNG')]",IDIOPATHIC PULMONARY FIBROSIS
331,GSM2307478,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.98, 'LUNG DISEASES, INTERSTITIAL'), (0.01, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS'), (0.01, 'CONTROL - LUNG')]",IDIOPATHIC PULMONARY FIBROSIS
332,GSM2348832,Incorrect,Yes,CONTROL - LUNG,"[(52.12, 'LUNG DISEASES, INTERSTITIAL'), (47.69, 'CONTROL - LUNG'), (0.08, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS')]",LUNG SQUAMOUS CELL CARCINOMA
333,GSM2348858,Correct,Yes,CONTROL - LUNG,"[(99.83, 'CONTROL - LUNG'), (0.15, 'LUNG DISEASES, INTERSTITIAL'), (0.01, 'CONTROL - FIBROBLASTS')]",LUNG SQUAMOUS CELL CARCINOMA
334,GSM2348859,Correct,Yes,LUNG NEOPLASMS,"[(99.97, 'LUNG NEOPLASMS'), (0.03, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'LUNG DISEASES')]",LUNG SQUAMOUS CELL CARCINOMA
335,GSM2348864,Correct,Yes,CONTROL - LUNG,"[(99.98, 'CONTROL - LUNG'), (0.01, 'LUNG DISEASES, INTERSTITIAL'), (0.01, 'CONTROL - FIBROBLASTS')]",LUNG SQUAMOUS CELL CARCINOMA
336,GSM1464305,Correct,Yes,LUNG NEOPLASMS,"[(99.99, 'LUNG NEOPLASMS'), (0.01, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'LUNG DISEASES')]",SMALL CELL LUNG CANCER
337,GSM2348868,Correct,Yes,CONTROL - LUNG,"[(91.69, 'CONTROL - LUNG'), (8.28, 'LUNG DISEASES, INTERSTITIAL'), (0.01, 'CONTROL - FIBROBLASTS')]",LUNG SQUAMOUS CELL CARCINOMA
338,GSM2373812,Correct,Yes,LUNG NEOPLASMS,"[(99.98, 'LUNG NEOPLASMS'), (0.02, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'LUNG DISEASES')]",SMALL CELL LUNG CANCER
339,GSM2373816,Correct,Yes,LUNG NEOPLASMS,"[(99.29, 'LUNG NEOPLASMS'), (0.69, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.02, 'LUNG DISEASES')]",SMALL CELL LUNG CANCER
340,GSM2373817,Correct,Yes,CONTROL - LUNG,"[(99.82, 'CONTROL - LUNG'), (0.14, 'LUNG DISEASES, INTERSTITIAL'), (0.03, 'CONTROL - FIBROBLASTS')]",SMALL CELL LUNG CANCER
341,GSM2390709,Correct,Yes,CONTROL - BLOOD,"[(99.9, 'CONTROL - BLOOD'), (0.05, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (0.02, 'CONTROL - CD206+ CD45+ MACROPHAGES')]",MULTIPLE SCLEROSIS
342,GSM2390712,Correct,Yes,CONTROL - BLOOD,"[(99.86, 'CONTROL - BLOOD'), (0.07, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (0.03, 'CONTROL - CD206+ CD45+ MACROPHAGES')]",MULTIPLE SCLEROSIS
343,GSM2390715,Correct,Yes,CONTROL - BLOOD,"[(99.79, 'CONTROL - BLOOD'), (0.1, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.08, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
344,GSM2390717,Correct,Yes,CONTROL - BLOOD,"[(99.82, 'CONTROL - BLOOD'), (0.09, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.06, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
345,GSM1464308,Correct,Yes,LUNG NEOPLASMS,"[(99.99, 'LUNG NEOPLASMS'), (0.01, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'LUNG DISEASES')]",SMALL CELL LUNG CANCER
346,GSM2390725,Correct,Yes,CONTROL - BLOOD,"[(99.96, 'CONTROL - BLOOD'), (0.02, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (0.01, 'CONTROL - CD206+ CD45+ MACROPHAGES')]",MULTIPLE SCLEROSIS
347,GSM2390729,Correct,Yes,CONTROL - BLOOD,"[(99.84, 'CONTROL - BLOOD'), (0.06, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (0.04, 'CONTROL - CD206+ CD45+ MACROPHAGES')]",MULTIPLE SCLEROSIS
348,GSM2390731,Correct,Yes,CONTROL - BLOOD,"[(99.82, 'CONTROL - BLOOD'), (0.06, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (0.04, 'CONTROL - CD206+ CD45+ MACROPHAGES')]",MULTIPLE SCLEROSIS
349,GSM2390732,Correct,Yes,CONTROL - BLOOD,"[(99.84, 'CONTROL - BLOOD'), (0.06, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (0.04, 'CONTROL - CD206+ CD45+ MACROPHAGES')]",MULTIPLE SCLEROSIS
350,GSM2390734,Correct,Yes,CONTROL - BLOOD,"[(99.72, 'CONTROL - BLOOD'), (0.11, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (0.07, 'CONTROL - CD206+ CD45+ MACROPHAGES')]",MULTIPLE SCLEROSIS
351,GSM2390735,Correct,Yes,CONTROL - BLOOD,"[(99.94, 'CONTROL - BLOOD'), (0.04, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.02, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
352,GSM2390749,Correct,Yes,CONTROL - BLOOD,"[(99.94, 'CONTROL - BLOOD'), (0.03, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (0.01, 'CONTROL - CD206+ CD45+ MACROPHAGES')]",MULTIPLE SCLEROSIS
353,GSM2390753,Correct,Yes,CONTROL - BLOOD,"[(99.81, 'CONTROL - BLOOD'), (0.08, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.07, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
354,GSM1464311,Correct,Yes,LUNG NEOPLASMS,"[(99.98, 'LUNG NEOPLASMS'), (0.02, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'LUNG DISEASES')]",SMALL CELL LUNG CANCER
355,GSM2390757,Correct,Yes,CONTROL - BLOOD,"[(99.85, 'CONTROL - BLOOD'), (0.06, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (0.06, 'CONTROL - CD206+ CD45+ MACROPHAGES')]",MULTIPLE SCLEROSIS
356,GSM2390758,Correct,Yes,CONTROL - BLOOD,"[(99.86, 'CONTROL - BLOOD'), (0.06, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.05, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
357,GSM2390760,Correct,Yes,CONTROL - BLOOD,"[(99.79, 'CONTROL - BLOOD'), (0.09, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (0.06, 'CONTROL - CD206+ CD45+ MACROPHAGES')]",MULTIPLE SCLEROSIS
358,GSM1464312,Correct,Yes,LUNG NEOPLASMS,"[(100.0, 'LUNG NEOPLASMS'), (0.0, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'LUNG DISEASES')]",SMALL CELL LUNG CANCER
359,GSM2390768,Correct,Yes,CONTROL - BLOOD,"[(99.86, 'CONTROL - BLOOD'), (0.08, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.04, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
360,GSM2390770,Correct,Yes,CONTROL - BLOOD,"[(99.8, 'CONTROL - BLOOD'), (0.12, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.05, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
361,GSM2390776,Correct,Yes,CONTROL - BLOOD,"[(99.86, 'CONTROL - BLOOD'), (0.05, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.04, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
362,GSM2390782,Correct,Yes,CONTROL - BLOOD,"[(99.92, 'CONTROL - BLOOD'), (0.05, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.02, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
363,GSM2390783,Correct,Yes,CONTROL - BLOOD,"[(99.88, 'CONTROL - BLOOD'), (0.05, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (0.05, 'CONTROL - CD206+ CD45+ MACROPHAGES')]",MULTIPLE SCLEROSIS
364,GSM2390785,Correct,Yes,CONTROL - BLOOD,"[(99.95, 'CONTROL - BLOOD'), (0.04, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.01, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
365,GSM2390786,Correct,Yes,CONTROL - BLOOD,"[(99.97, 'CONTROL - BLOOD'), (0.02, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.01, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
366,GSM2390787,Correct,Yes,CONTROL - BLOOD,"[(99.9, 'CONTROL - BLOOD'), (0.04, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.04, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
367,GSM2390791,Correct,Yes,CONTROL - BLOOD,"[(99.93, 'CONTROL - BLOOD'), (0.04, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.03, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
368,GSM2390795,Correct,Yes,CONTROL - BLOOD,"[(99.96, 'CONTROL - BLOOD'), (0.02, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.01, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
369,GSM1464315,Correct,Yes,LUNG NEOPLASMS,"[(100.0, 'LUNG NEOPLASMS'), (0.0, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'LUNG DISEASES')]",SMALL CELL LUNG CANCER
370,GSM2390828,Correct,Yes,CONTROL - BLOOD,"[(99.97, 'CONTROL - BLOOD'), (0.01, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (0.01, 'CONTROL - CD206+ CD45+ MACROPHAGES')]",MULTIPLE SCLEROSIS
371,GSM2390830,Correct,Yes,CONTROL - BLOOD,"[(99.88, 'CONTROL - BLOOD'), (0.04, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.04, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
372,GSM2390834,Correct,Yes,CONTROL - BLOOD,"[(99.92, 'CONTROL - BLOOD'), (0.05, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.02, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
373,GSM2390847,Correct,Yes,CONTROL - BLOOD,"[(99.93, 'CONTROL - BLOOD'), (0.03, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.02, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
374,GSM1464320,Correct,Yes,LUNG NEOPLASMS,"[(99.81, 'LUNG NEOPLASMS'), (0.18, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.01, 'LUNG DISEASES')]",SMALL CELL LUNG CANCER
375,GSM2390851,Correct,Yes,CONTROL - BLOOD,"[(99.98, 'CONTROL - BLOOD'), (0.01, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'CONTROL - MONOCYTES')]",MULTIPLE SCLEROSIS
376,GSM2390856,Correct,Yes,CONTROL - BLOOD,"[(99.97, 'CONTROL - BLOOD'), (0.01, 'CONTROL - MONOCYTES'), (0.01, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
377,GSM2390860,Correct,Yes,CONTROL - BLOOD,"[(99.99, 'CONTROL - BLOOD'), (0.0, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'CONTROL - MONOCYTES')]",MULTIPLE SCLEROSIS
378,GSM2390862,Correct,Yes,CONTROL - BLOOD,"[(99.95, 'CONTROL - BLOOD'), (0.02, 'CONTROL - MONOCYTES'), (0.01, 'CONTROL - CD206+ CD45+ MACROPHAGES')]",MULTIPLE SCLEROSIS
379,GSM1375991,Correct,Yes,CONTROL - LUNG,"[(99.86, 'CONTROL - LUNG'), (0.12, 'LUNG DISEASES, INTERSTITIAL'), (0.02, 'CONTROL - FIBROBLASTS')]",CHRONIC OBSTRUCTIVE PULMONARY DISEASE
380,GSM2390870,Correct,Yes,CONTROL - BLOOD,"[(99.88, 'CONTROL - BLOOD'), (0.06, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (0.04, 'CONTROL - CD206+ CD45+ MACROPHAGES')]",MULTIPLE SCLEROSIS
381,GSM2390876,Correct,Yes,CONTROL - BLOOD,"[(99.89, 'CONTROL - BLOOD'), (0.06, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.03, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
382,GSM1464323,Correct,Yes,LUNG NEOPLASMS,"[(100.0, 'LUNG NEOPLASMS'), (0.0, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'LUNG DISEASES')]",SMALL CELL LUNG CANCER
383,GSM2390883,Correct,Yes,CONTROL - BLOOD,"[(99.99, 'CONTROL - BLOOD'), (0.0, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
384,GSM2390885,Correct,Yes,CONTROL - BLOOD,"[(99.93, 'CONTROL - BLOOD'), (0.05, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.02, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
385,GSM2390887,Correct,Yes,CONTROL - BLOOD,"[(99.87, 'CONTROL - BLOOD'), (0.09, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.03, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
386,GSM2390888,Correct,Yes,CONTROL - BLOOD,"[(99.99, 'CONTROL - BLOOD'), (0.0, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
387,GSM2390889,Correct,Yes,CONTROL - BLOOD,"[(99.91, 'CONTROL - BLOOD'), (0.06, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.02, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
388,GSM2390893,Correct,Yes,CONTROL - BLOOD,"[(99.94, 'CONTROL - BLOOD'), (0.03, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (0.02, 'CONTROL - CD206+ CD45+ MACROPHAGES')]",MULTIPLE SCLEROSIS
389,GSM1464325,Correct,Yes,LUNG NEOPLASMS,"[(99.99, 'LUNG NEOPLASMS'), (0.01, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'LUNG DISEASES')]",SMALL CELL LUNG CANCER
390,GSM2390901,Correct,Yes,CONTROL - BLOOD,"[(99.87, 'CONTROL - BLOOD'), (0.05, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (0.05, 'CONTROL - CD206+ CD45+ MACROPHAGES')]",MULTIPLE SCLEROSIS
391,GSM2390903,Correct,Yes,CONTROL - BLOOD,"[(99.96, 'CONTROL - BLOOD'), (0.02, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.01, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
392,GSM2390904,Correct,Yes,CONTROL - BLOOD,"[(99.96, 'CONTROL - BLOOD'), (0.02, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (0.01, 'CONTROL - CD206+ CD45+ MACROPHAGES')]",MULTIPLE SCLEROSIS
393,GSM2390907,Correct,Yes,CONTROL - BLOOD,"[(99.69, 'CONTROL - BLOOD'), (0.17, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.09, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
394,GSM2390914,Correct,Yes,CONTROL - BLOOD,"[(99.76, 'CONTROL - BLOOD'), (0.09, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (0.07, 'CONTROL - CD206+ CD45+ MACROPHAGES')]",MULTIPLE SCLEROSIS
395,GSM2390922,Correct,Yes,CONTROL - BLOOD,"[(99.75, 'CONTROL - BLOOD'), (0.1, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.09, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
396,GSM2390931,Correct,Yes,CONTROL - BLOOD,"[(99.77, 'CONTROL - BLOOD'), (0.16, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.04, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",MULTIPLE SCLEROSIS
397,GSM2391079,Correct,Yes,LUNG NEOPLASMS,"[(99.93, 'LUNG NEOPLASMS'), (0.06, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'CONTROL - FIBROBLASTS')]",NON-SMALL CELL LUNG CANCER
398,GSM2391080,Correct,Yes,LUNG NEOPLASMS,"[(99.94, 'LUNG NEOPLASMS'), (0.06, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'CONTROL - FIBROBLASTS')]",NON-SMALL CELL LUNG CANCER
399,GSM2391083,Correct,Yes,LUNG NEOPLASMS,"[(99.97, 'LUNG NEOPLASMS'), (0.02, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'LUNG DISEASES')]",NON-SMALL CELL LUNG CANCER
400,GSM2391085,Correct,Yes,LUNG NEOPLASMS,"[(99.9, 'LUNG NEOPLASMS'), (0.09, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.01, 'LUNG DISEASES')]",NON-SMALL CELL LUNG CANCER
401,GSM2391091,Correct,Yes,LUNG NEOPLASMS,"[(99.73, 'LUNG NEOPLASMS'), (0.26, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'CONTROL - FIBROBLASTS')]",NON-SMALL CELL LUNG CANCER
402,GSM1464331,Correct,Yes,LUNG NEOPLASMS,"[(99.74, 'LUNG NEOPLASMS'), (0.24, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.01, 'LUNG DISEASES')]",SMALL CELL LUNG CANCER
403,GSM2391101,Correct,Yes,LUNG NEOPLASMS,"[(99.97, 'LUNG NEOPLASMS'), (0.02, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.01, 'LUNG DISEASES')]",NON-SMALL CELL LUNG CANCER
404,GSM2391102,Correct,Yes,LUNG NEOPLASMS,"[(99.98, 'LUNG NEOPLASMS'), (0.02, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'LUNG DISEASES')]",NON-SMALL CELL LUNG CANCER
405,GSM2391104,Correct,Yes,LUNG NEOPLASMS,"[(99.97, 'LUNG NEOPLASMS'), (0.03, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.01, 'LUNG DISEASES')]",NON-SMALL CELL LUNG CANCER
406,GSM2391106,Correct,Yes,LUNG NEOPLASMS,"[(99.89, 'LUNG NEOPLASMS'), (0.1, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.01, 'LUNG DISEASES')]",NON-SMALL CELL LUNG CANCER
407,GSM2391107,Correct,Yes,LUNG NEOPLASMS,"[(99.99, 'LUNG NEOPLASMS'), (0.01, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'LUNG DISEASES')]",NON-SMALL CELL LUNG CANCER
408,GSM2391108,Correct,Yes,LUNG NEOPLASMS,"[(99.99, 'LUNG NEOPLASMS'), (0.01, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'LUNG DISEASES')]",NON-SMALL CELL LUNG CANCER
409,GSM1464332,Correct,Yes,LUNG NEOPLASMS,"[(99.84, 'LUNG NEOPLASMS'), (0.15, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.01, 'LUNG DISEASES')]",SMALL CELL LUNG CANCER
410,GSM2391110,Correct,Yes,LUNG NEOPLASMS,"[(99.96, 'LUNG NEOPLASMS'), (0.04, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'LUNG DISEASES')]",NON-SMALL CELL LUNG CANCER
411,GSM2391111,Correct,Yes,LUNG NEOPLASMS,"[(99.95, 'LUNG NEOPLASMS'), (0.04, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.01, 'LUNG DISEASES')]",NON-SMALL CELL LUNG CANCER
412,GSM2391117,Correct,Yes,LUNG NEOPLASMS,"[(99.97, 'LUNG NEOPLASMS'), (0.02, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'CONTROL - FIBROBLASTS')]",NON-SMALL CELL LUNG CANCER
413,GSM2391120,Correct,Yes,LUNG NEOPLASMS,"[(99.98, 'LUNG NEOPLASMS'), (0.01, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.01, 'LUNG DISEASES')]",NON-SMALL CELL LUNG CANCER
414,GSM2391121,Correct,Yes,LUNG NEOPLASMS,"[(99.94, 'LUNG NEOPLASMS'), (0.05, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'LUNG DISEASES')]",NON-SMALL CELL LUNG CANCER
415,GSM2391126,Correct,Yes,LUNG NEOPLASMS,"[(99.99, 'LUNG NEOPLASMS'), (0.01, 'LUNG DISEASES'), (0.01, 'CONTROL - CD206+ CD45+ MACROPHAGES')]",NON-SMALL CELL LUNG CANCER
