dsaid,accession,platform,deg_count,disease,diseaseid,tissue,data_source,library_strategy,organism,control_case_sample_count,definition
DSA03052,GSE169718,GPL24247,1000,Villous Atrophy,C0554101,Intestine,GEO,RNA-Seq,Mus musculus,2|2,HPO:The enteric villi are atrophic or absent.
DSA03053,GSE13796,GPL1261,1000,Acute Myeloid Leukemia,C0023467,Bone marrow,GEO,Microarray,Mus musculus,4|7,DO:A myeloid leukemia that is characterized by the rapid growth of abnormal white blood cells that accumulate in the bone marrow and interfere with the production of normal blood cells.
DSA03054,GSE166663,GPL27644,723,Vogt-Koyanagi-Harada Disease,C0042170,Blood,GEO,RNA-Seq,Homo sapiens,7|14,"DO:An autoimmune disease that is caused by T helper cell mediated autoimmune attack of melanocytes resulting in inflammation of the inside of the eye, whitening of hair, skin pigment loss, and meningitis."
DSA03055,GSE137342,GPL10558,1000,Sepsis,C0243026,Whole blood,GEO,Microarray,Homo sapiens,12|14,DO:A bacterial infectious disease has_material_basis_in Bacteria.
DSA03056,GSE137342,GPL10558,1000,Sepsis,C0243026,Whole blood,GEO,Microarray,Homo sapiens,12|15,DO:A bacterial infectious disease has_material_basis_in Bacteria.
DSA03057,GSE137342,GPL10558,1000,Sepsis,C0243026,Whole blood,GEO,Microarray,Homo sapiens,12|6,DO:A bacterial infectious disease has_material_basis_in Bacteria.
DSA03058,GSE137342,GPL10558,1000,Sepsis,C0243026,Whole blood,GEO,Microarray,Homo sapiens,12|7,DO:A bacterial infectious disease has_material_basis_in Bacteria.
DSA03059,GSE137345,GPL24557,0,Non-Alcoholic Fatty Liver Disease,C0400966,Liver,GEO,Microarray,Mus musculus,3|3,DO:A lipid storage disease characterized by the accumulation of large vacuoles of triglyceride fat in liver cells via the process of steatosis.
DSA03060,GSE137345,GPL24557,0,Non-Alcoholic Fatty Liver Disease,C0400966,Liver,GEO,Microarray,Mus musculus,3|3,DO:A lipid storage disease characterized by the accumulation of large vacuoles of triglyceride fat in liver cells via the process of steatosis.
DSA03061,GSE137354,GPL17586,0,Polycystic Ovary Syndrome,C0032460,Endometrium,GEO,Microarray,Homo sapiens,3|3,"DO:An ovarian dysfunction that is characterized by hyperandrogenism, polycystic ovaries, hirsutism, oligomenorrhea or amenorrhea, anovulation and excessive body weight."
DSA03062,GSE137369,GPL6244,2,Monoclonal Gammopathy of Undetermined Significance,C0026470,Bone marrow,GEO,Microarray,Homo sapiens,8|10,DO:A blood protein disease that is characterized by the presence of an abnormal protein called monoclonal protein in the blood.
DSA03063,GSE137369,GPL6244,52,Smoldering Myeloma,C1531608,Bone marrow,GEO,Microarray,Homo sapiens,8|10,EFO:A plasma cell myeloma lacking clinical manifestations and organ impairment.
DSA03064,GSE137369,GPL6244,6,Multiple Myeloma,C0026764,Bone marrow,GEO,Microarray,Homo sapiens,8|24,DO:A myeloid neoplasm that is located_in the plasma cells in bone marrow.
DSA03065,GSE137380,GPL20301,39,Autoimmune Lymphoproliferative Syndrome,C1328840,Peripheral blood,GEO,RNA-Seq,Homo sapiens,3|3,"DO:A hypersensitivity reaction type IV disease that is an inherited disorder in which the body cannot properly regulate the number of immune system cells (lymphocytes). It is characterized by the production of an abnormally large number of lymphocytes. Accumulation of excess lymphocytes results in enlargement of the lymph nodes, the liver, and the spleen."
DSA03066,GSE16390,GPL1261,1000,Chronic Atrophic Gastritis,C0017154,,GEO,Microarray,Mus musculus,12|12,"HPO:Atrophic gastritis (AG) is a histopathological entity that is characterized by chronic inflammation of the gastric mucosa with loss of gastric glandular cells and replacement by intestinal-type epithelium, pyloric-type glands, and fibrous tissue."
DSA03067,GSE137419,GPL6244,2,Monoclonal Gammopathy of Undetermined Significance,C0026470,,GEO,Microarray,Homo sapiens,8|10,DO:A blood protein disease that is characterized by the presence of an abnormal protein called monoclonal protein in the blood.
DSA03068,GSE137419,GPL6244,6,Multiple Myeloma,C0026764,,GEO,Microarray,Homo sapiens,8|24,DO:A myeloid neoplasm that is located_in the plasma cells in bone marrow.
DSA03069,GSE137419,GPL6244,52,Smoldering Myeloma,C1531608,,GEO,Microarray,Homo sapiens,8|10,EFO:A plasma cell myeloma lacking clinical manifestations and organ impairment.
DSA03070,GSE137429,GPL18573,1000,Myelodysplastic Syndromes,C3463824,Bone marrow,GEO,scRNA-Seq,Homo sapiens,2|2,"DO:A bone marrow cancer that is characterized by under production of white blood cells, red blood cells and platelets."
DSA03071,GSE16390,GPL1261,1000,Gastric Adenocarcinoma,C0278701,,GEO,Microarray,Mus musculus,12|6,DO:A stomach carcinoma that derives_from epithelial cells of glandular origin.
DSA03072,GSE16677,GPL570,372,Down Syndrome,C0013080,,GEO,Microarray,Homo sapiens,5|6,DO:A chromosomal disease that is characterized by flat-looking facial features and weak muscle tone (hypotonia) in infancy and is caused by trisomy of all or a critical portion of chromosome 21 and is associated with intellectual disability.
DSA03073,GSE137482,GPL19057,1000,Ischemic Stroke,C0948008,Brain,GEO,RNA-Seq,Mus musculus,6|6,DO:A cerebrovascular disease that is characterized by an area of necrotic tissue in the brain resulting from a blockage or narrowing in the arteries supplying blood and oxygen to the brain.
DSA03074,GSE137482,GPL19057,1000,Ischemic Stroke,C0948008,Brain,GEO,RNA-Seq,Mus musculus,6|6,DO:A cerebrovascular disease that is characterized by an area of necrotic tissue in the brain resulting from a blockage or narrowing in the arteries supplying blood and oxygen to the brain.
DSA03075,GSE137496,GPL20301,986,Severe Congenital Neutropenia,C1853118,Bone marrow,GEO,scRNA-Seq,Homo sapiens,1|1,DO:A neutropenia characterized by a maturation arrest of granulopoiesis at the level or promyelocytes and early onset of severe bacterial infections.
DSA03076,GSE137505,GPL13112,54,Nijmegen Breakage Syndrome,C0398791,Liver,GEO,RNA-Seq,Mus musculus,3|3,"DO:A syndrome characterized by chromosomal instability, microcephaly, growth retardation, immunodeficiency, cellular hypersensitivity to X-rays, and predisposition to cancer that has_material_basis_in homozygous or compound heterozygous mutation in NBN on chromosome 8q21.3."
DSA03077,GSE137557,GPL17692,1000,Chronic Obstructive Pulmonary Disease,C0024117,Lung,GEO,Microarray,Homo sapiens,8|8,"DO:An obstructive lung disease that is a chronic and progressive disorder of small airways in the lungs and that is characterized by irreversible airflow obstruction, typically identified by reductions in quantitative spirometric indices, induced forced expiratory volume at 1 second (FEV1) and the ratio of FEV1 to forced vital capacity (less than 0.7 is diagnostic of COPD).  Lung volume is increased and pulmonary hypertension may occur.  The pathologic changes result in the disruption of the airflow in the bronchial airways. Signs and symptoms include shortness of breath, wheezing, productive cough and chest tightness. COPD is a consequence (an end result) of chronic bronchitis, emphysema or both."
DSA03078,GSE137557,GPL17692,1000,Chronic Obstructive Pulmonary Disease,C0024117,Lung,GEO,Microarray,Homo sapiens,6|6,"DO:An obstructive lung disease that is a chronic and progressive disorder of small airways in the lungs and that is characterized by irreversible airflow obstruction, typically identified by reductions in quantitative spirometric indices, induced forced expiratory volume at 1 second (FEV1) and the ratio of FEV1 to forced vital capacity (less than 0.7 is diagnostic of COPD).  Lung volume is increased and pulmonary hypertension may occur.  The pathologic changes result in the disruption of the airflow in the bronchial airways. Signs and symptoms include shortness of breath, wheezing, productive cough and chest tightness. COPD is a consequence (an end result) of chronic bronchitis, emphysema or both."
DSA03079,GSE137581,GPL21163,1000,Atherosclerosis,C0004153,Ascending aorta,GEO,Microarray,Mus musculus,3|3,DO:An artery disease that is characterized by a thickening and hardening of arterial walls in the arteries.
DSA03080,GSE137595,GPL24242,1,Stroke,C0948008,Brain,GEO,Microarray,Mus musculus,4|8,DO:A cerebrovascular disease that is characterized by an area of necrotic tissue in the brain resulting from a blockage or narrowing in the arteries supplying blood and oxygen to the brain.
DSA03081,GSE137596,GPL21697,1000,Cerebral Cavernous Malformation,C2919945,Brain,GEO,RNA-Seq,Homo sapiens,4|10,DO:A cerebral cavernous malformation that has_material_basis_in heterozygous mutation in the KRIT1 gene on chromosome 7q21.
DSA03082,GSE13760,GPL571,0,Type 2 Diabetes,C0011860,Artery,GEO,Microarray,Homo sapiens,5|9,"DO:A diabetes mellitus that is characterized by high blood sugar, insulin resistance, and relative lack of insulin."
DSA03083,GSE137610,GPL19096,1000,Liver Tumor,C0345904,Liver,GEO,Microarray,Mus musculus,4|4,DO:A hepatobiliary system cancer that is located_in the liver.
DSA03084,GSE137619,GPL21290,28,Multiple Sclerosis,C0026769,Choroid plexus,GEO,RNA-Seq,Homo sapiens,6|5,DO:A demyelinating disease that involves damage to the fatty myelin sheaths around the axons of the brain and spinal cord resulting in demyelination and scarring.
DSA03085,GSE137631,GPL18573,371,Obesity,C0028754,Vastus lateralis,GEO,RNA-Seq,Homo sapiens,6|6,"DO:An overnutrition that is characterized by excess body fat, traditionally defined as an elevated ratio of weight to height (specifically 30 kilograms per meter squared), has_material_basis_in a multifactorial etiology related to excess nutrition intake, decreased caloric utilization, and genetic susceptibility, and possibly medications and certain disorders of metabolism, endocrine function, and mental illness."
DSA03086,GSE137633,GPL17021,1000,Tumors of The Central Nervous System,C0085136,Brain,GEO,RNA-Seq,Mus musculus,3|3,DO:A nervous system cancer that is located_in the central nervous system.
DSA03087,GSE137633,GPL17021,1000,Tumors of The Central Nervous System,C0085136,Brain,GEO,RNA-Seq,Mus musculus,3|4,DO:A nervous system cancer that is located_in the central nervous system.
DSA03088,GSE137633,GPL17021,1000,Central Nervous System Tumor,C0206743,Brain,GEO,RNA-Seq,Mus musculus,3|3,"DO:A brain cancer that is usually located in the brain, but can occur anywhere in the central nervous system."
DSA03089,GSE137633,GPL17021,1000,Extracranial Solid Tumor,C4726566,Brain,GEO,RNA-Seq,Mus musculus,3|4,NCI:A solid neoplasm involving any anatomic site other than the brain.
DSA03090,GSE137635,GPL11180,1000,Non-Alcoholic Steatohepatitis,C3241937,Liver,GEO,Microarray,Mus musculus,2|2,MONDO:Fatty replacement and damage to the hepatocytes not related to alcohol use. It may lead to cirrhosis and liver failure.
DSA03091,GSE137681,GPL17021,1000,Marfan Syndrome,C0024796,Mitral valve,GEO,RNA-Seq,Mus musculus,1|1,"DO:A connective tissue disease that is characterized by tall stature, elongated extremities, mitral valve prolapse, aortic dilatation, aortic dissection, and subluxation of the lens."
DSA03092,GSE137684,GPL17077,0,Polycystic Ovary Syndrome,C0032460,Ovary,GEO,Microarray,Homo sapiens,4|4,"DO:An ovarian dysfunction that is characterized by hyperandrogenism, polycystic ovaries, hirsutism, oligomenorrhea or amenorrhea, anovulation and excessive body weight."
DSA03093,GSE137762,GPL21103,1000,Brain Metastatic,C0220650,Brain,GEO,RNA-Seq,Mus musculus,4|4,NCI:A malignant neoplasm that has spread to the brain from another anatomic site or system. The majority are carcinomas (usually lung or breast carcinomas).
DSA03094,GSE137762,GPL21103,3,Brain Metastatic,C0220650,Brain,GEO,RNA-Seq,Mus musculus,5|5,NCI:A malignant neoplasm that has spread to the brain from another anatomic site or system. The majority are carcinomas (usually lung or breast carcinomas).
DSA03095,GSE137762,GPL21103,2,Brain Metastatic,C0220650,Brain,GEO,RNA-Seq,Mus musculus,5|5,NCI:A malignant neoplasm that has spread to the brain from another anatomic site or system. The majority are carcinomas (usually lung or breast carcinomas).
DSA03096,GSE137762,GPL21103,5,Brain Metastatic,C0220650,Brain,GEO,RNA-Seq,Mus musculus,4|5,NCI:A malignant neoplasm that has spread to the brain from another anatomic site or system. The majority are carcinomas (usually lung or breast carcinomas).
DSA03097,GSE137762,GPL21103,0,Brain Metastatic,C0220650,Brain,GEO,RNA-Seq,Mus musculus,4|5,NCI:A malignant neoplasm that has spread to the brain from another anatomic site or system. The majority are carcinomas (usually lung or breast carcinomas).
DSA03098,GSE137842,GPL570,0,Bone Metastases,C0153690,,GEO,Microarray,Homo sapiens,1|3,EFO:Transfer of a neoplasm from its primary site to bones.
DSA03099,GSE137842,GPL570,0,Metastatic Cancer To The Breast,C0346993,,GEO,Microarray,Homo sapiens,3|3,"NCI:The spread of a malignant neoplasm to the breast. This may be from a primary breast malignant neoplasm on the opposite side, or from a malignant neoplasm at a distant site."
DSA03100,GSE16679,GPL1261,6,Leukemia,C0023418,,GEO,Microarray,Mus musculus,4|4,DO:A cancer that affects the blood or bone marrow characterized by an abnormal proliferation of blood cells.
DSA03101,GSE17538,GPL1261,1000,Metastatic Colon Carcinoma,C4744565,Colon,GEO,Microarray,Mus musculus,3|3,NCI:A carcinoma that arises from the colon and has metastasized to another anatomic site.
DSA03102,GSE18033,GPL1261,10,Chronic Obstructive Pulmonary Disease,C0024117,Gastrocnemius muscle,GEO,Microarray,Mus musculus,6|50,"DO:An obstructive lung disease that is a chronic and progressive disorder of small airways in the lungs and that is characterized by irreversible airflow obstruction, typically identified by reductions in quantitative spirometric indices, induced forced expiratory volume at 1 second (FEV1) and the ratio of FEV1 to forced vital capacity (less than 0.7 is diagnostic of COPD).  Lung volume is increased and pulmonary hypertension may occur.  The pathologic changes result in the disruption of the airflow in the bronchial airways. Signs and symptoms include shortness of breath, wheezing, productive cough and chest tightness. COPD is a consequence (an end result) of chronic bronchitis, emphysema or both."
DSA03103,GSE137910,GPL11154,372,X-Linked Juvenile Retinoschisis 1,C0271091,Retina,GEO,RNA-Seq,Homo sapiens,4|4,DO:A retinoschisis characterized by schisis (splitting) of the neural retina leading to reduced visual acuity in males due that has_material_basis_in the RS1 gene on chromosome Xp22.
DSA03104,GSE137939,GPL15433,128,Down Syndrome,C0013080,Hippocampus,GEO,RNA-Seq,Homo sapiens,5|4,DO:A chromosomal disease that is characterized by flat-looking facial features and weak muscle tone (hypotonia) in infancy and is caused by trisomy of all or a critical portion of chromosome 21 and is associated with intellectual disability.
DSA03105,GSE137960,GPL17791,1000,Pancreatic Ductal Adenocarcinoma,C1335302,Abdominal muscle,GEO,Microarray,Mus musculus,3|3,DO:A pancreatic adenocarcinoma that derives_from pancreatic duct cells.
DSA03106,GSE137960,GPL17791,2,Pancreatic Ductal Adenocarcinoma,C1335302,Diaphragm,GEO,Microarray,Mus musculus,3|3,DO:A pancreatic adenocarcinoma that derives_from pancreatic duct cells.
DSA03107,GSE137960,GPL17791,1000,Pancreatic Ductal Adenocarcinoma,C1335302,Tibialis anterior,GEO,Microarray,Mus musculus,3|3,DO:A pancreatic adenocarcinoma that derives_from pancreatic duct cells.
DSA03108,GSE137979,GPL17791,1000,Pancreatic Ductal Adenocarcinoma,C1335302,Tibialis anterior,GEO,Microarray,Mus musculus,12|17,DO:A pancreatic adenocarcinoma that derives_from pancreatic duct cells.
DSA03109,GSE137979,GPL17791,1000,Pancreatic Ductal Adenocarcinoma,C1335302,Diaphragm,GEO,Microarray,Mus musculus,12|17,DO:A pancreatic adenocarcinoma that derives_from pancreatic duct cells.
DSA03110,GSE137985,GPL17791,208,Pancreatic Ductal Adenocarcinoma,C1335302,Diaphragm,GEO,Microarray,Mus musculus,15|20,DO:A pancreatic adenocarcinoma that derives_from pancreatic duct cells.
DSA03111,GSE137985,GPL17791,295,Pancreatic Ductal Adenocarcinoma,C1335302,Tibialis anterior,GEO,Microarray,Mus musculus,15|20,DO:A pancreatic adenocarcinoma that derives_from pancreatic duct cells.
DSA03112,GSE137996,GPL21185,1000,Keratopathy,C0235270,Conjunctiva,GEO,Microarray,Homo sapiens,20|20,MONDO:Any disorder of the cornea.
DSA03113,GSE18216,GPL1261,1000,Breast Cancer,C0678222,Breast,GEO,Microarray,Mus musculus,3|9,DO:A breast cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA03114,GSE138053,GPL20301,1000,Spinal And Bulbar Muscular Atrophy,C1839259,Motor cortex,GEO,RNA-Seq,Homo sapiens,2|1,DO:A spinal muscular dystrophy that has_material_basis_in an X-linked recessive expansion of CAG triplet repeats (glutamine) in exon 1 of AR gene encoding the androgen receptor.
DSA03115,GSE138053,GPL20301,1000,Spinal And Bulbar Muscular Atrophy,C1839259,Lumbar spinal cord,GEO,RNA-Seq,Homo sapiens,1|1,DO:A spinal muscular dystrophy that has_material_basis_in an X-linked recessive expansion of CAG triplet repeats (glutamine) in exon 1 of AR gene encoding the androgen receptor.
DSA03116,GSE138053,GPL20301,1000,Spinal And Bulbar Muscular Atrophy,C1839259,Brain,GEO,RNA-Seq,Homo sapiens,2|1,DO:A spinal muscular dystrophy that has_material_basis_in an X-linked recessive expansion of CAG triplet repeats (glutamine) in exon 1 of AR gene encoding the androgen receptor.
DSA03117,GSE138053,GPL20301,0,Spinal And Bulbar Muscular Atrophy,C1839259,,GEO,RNA-Seq,Homo sapiens,3|3,DO:A spinal muscular dystrophy that has_material_basis_in an X-linked recessive expansion of CAG triplet repeats (glutamine) in exon 1 of AR gene encoding the androgen receptor.
DSA03118,GSE138053,GPL20301,0,Spinal And Bulbar Muscular Atrophy,C1839259,,GEO,RNA-Seq,Homo sapiens,3|3,DO:A spinal muscular dystrophy that has_material_basis_in an X-linked recessive expansion of CAG triplet repeats (glutamine) in exon 1 of AR gene encoding the androgen receptor.
DSA03119,GSE138076,GPL9052,87,Common Variable Immunodeficiency,C0009447,,GEO,RNA-Seq,Homo sapiens,3|3,DO:An agammaglobulinemia that is characterized by low Ig levels with phenotypically normal B cells that can proliferate but do not develop into Ig-producing cells and that esults in insufficient production of antibodies needed to respond to exposure of pathogens.
DSA03120,GSE138080,GPL4133,1000,Cervical Cancer,C4048328,,GEO,Microarray,Homo sapiens,10|15,DO:A female reproductive organ cancer that is located_in the cervix.
DSA03121,GSE138080,GPL4133,1000,Cervical Cancer,C4048328,,GEO,Microarray,Homo sapiens,10|10,DO:A female reproductive organ cancer that is located_in the cervix.
DSA03122,GSE138082,GPL16791,0,Schizophrenia,C0036341,Hippocampus,GEO,RNA-Seq,Homo sapiens,13|13,DO:A psychotic disorder that is characterized by a disintegration of thought processes and of emotional responsiveness.
DSA03123,GSE138082,GPL16791,1,Schizophrenia,C0036341,Hippocampus,GEO,RNA-Seq,Homo sapiens,13|13,DO:A psychotic disorder that is characterized by a disintegration of thought processes and of emotional responsiveness.
DSA03124,GSE138082,GPL16791,1,Schizophrenia,C0036341,Hippocampus,GEO,RNA-Seq,Homo sapiens,13|13,DO:A psychotic disorder that is characterized by a disintegration of thought processes and of emotional responsiveness.
DSA03125,GSE138118,GPL17692,1000,Urothelial Carcinoma of The Urinary Bladder,C0279680,Blood,GEO,Microarray,Homo sapiens,29|36,DO:A bladder carcinoma that has_material_basis_in transitional cells located_in the lining of the bladder.
DSA03126,GSE138118,GPL17692,11,Urothelial Carcinoma of The Urinary Bladder,C0279680,Blood,GEO,Microarray,Homo sapiens,29|10,DO:A bladder carcinoma that has_material_basis_in transitional cells located_in the lining of the bladder.
DSA03127,GSE138142,GPL24247,57,Pancreatic Ductal Adenocarcinoma,C1335302,Pancreas,GEO,RNA-Seq,Mus musculus,4|4,DO:A pancreatic adenocarcinoma that derives_from pancreatic duct cells.
DSA03128,GSE138167,GPL16791,66,Cystic Fibrosis,C0010674,Bronchus,GEO,RNA-Seq,Homo sapiens,5|7,"DO:A syndrome that is characterized by the buildup of thick, sticky mucus that can damage many organs."
DSA03129,GSE138167,GPL16791,28,Cystic Fibrosis,C0010674,Bronchus,GEO,RNA-Seq,Homo sapiens,5|7,"DO:A syndrome that is characterized by the buildup of thick, sticky mucus that can damage many organs."
DSA03130,GSE138260,GPL27556,1000,Alzheimer's Disease,C0002395,Brain,GEO,Microarray,Homo sapiens,19|17,"DO:An Alzheimer's disease that has_material_basis_in mutation heterozygous mutation in the APP gene, which encodes the amyloid precursor protein, on chromosome 21q21."
DSA03131,GSE138312,GPL21290,5,Non-Alcoholic Fatty Liver Disease,C0400966,,GEO,RNA-Seq,Homo sapiens,16|21,DO:A lipid storage disease characterized by the accumulation of large vacuoles of triglyceride fat in liver cells via the process of steatosis.
DSA03132,GSE138312,GPL21290,1000,Non-Alcoholic Fatty Liver Disease,C0400966,,GEO,RNA-Seq,Homo sapiens,16|21,DO:A lipid storage disease characterized by the accumulation of large vacuoles of triglyceride fat in liver cells via the process of steatosis.
DSA03133,GSE138437,GPL24676,1000,Pancreatic Cancer,C0235974,Pancreas,GEO,RNA-Seq,Homo sapiens,3|2,DO:An endocrine gland cancer located_in the pancreas.
DSA03134,GSE138437,GPL24676,1000,Pancreatic Cancer,C0235974,Pancreas,GEO,RNA-Seq,Homo sapiens,3|3,DO:An endocrine gland cancer located_in the pancreas.
DSA03135,GSE138437,GPL24676,1000,Pancreatic Cancer,C0235974,Pancreas,GEO,RNA-Seq,Homo sapiens,3|3,DO:An endocrine gland cancer located_in the pancreas.
DSA03136,GSE138437,GPL24676,1000,Pancreatic Cancer,C0235974,Pancreas,GEO,RNA-Seq,Homo sapiens,3|3,DO:An endocrine gland cancer located_in the pancreas.
DSA03137,GSE138437,GPL24676,1000,Pancreatic Cancer,C0235974,Pancreas,GEO,RNA-Seq,Homo sapiens,3|3,DO:An endocrine gland cancer located_in the pancreas.
DSA03138,GSE138437,GPL24676,1000,Pancreatic Cancer,C0235974,Pancreas,GEO,RNA-Seq,Homo sapiens,3|3,DO:An endocrine gland cancer located_in the pancreas.
DSA03139,GSE138437,GPL24676,1000,Pancreatic Cancer,C0235974,Pancreas,GEO,RNA-Seq,Homo sapiens,3|2,DO:An endocrine gland cancer located_in the pancreas.
DSA03140,GSE138437,GPL24676,1000,Pancreatic Cancer,C0235974,Pancreas,GEO,RNA-Seq,Homo sapiens,3|2,DO:An endocrine gland cancer located_in the pancreas.
DSA03141,GSE138575,GPL11154,192,Polycystic Ovary Syndrome,C0032460,,GEO,RNA-Seq,Homo sapiens,3|3,"DO:An ovarian dysfunction that is characterized by hyperandrogenism, polycystic ovaries, hirsutism, oligomenorrhea or amenorrhea, anovulation and excessive body weight."
DSA03142,GSE138580,GPL27583,1000,Tuberculosis,C0041296,Bone marrow,GEO,RNA-Seq,Mus musculus,2|3,"MONDO:A chronic, recurrent infection caused by the bacterium Mycobacterium tuberculosis. Tuberculosis (TB) may affect almost any tissue or organ of the body with the lungs being the most common site of infection. The clinical stages of TB are primary or initial infection, latent or dormant infection, and recrudescent or adult-type TB. Ninety to 95% of primary TB infections may go unrecognized. Histopathologically, tissue lesions consist of granulomas which usually undergo central caseation necrosis. Local symptoms of TB vary according to the part affected; acute symptoms include hectic fever, sweats, and emaciation; serious complications include granulomatous erosion of pulmonary bronchi associated with hemoptysis. If untreated, progressive TB may be associated with a high degree of mortality. This infection is frequently observed in immunocompromised individuals with AIDS or a history of illicit IV drug use."
DSA03143,GSE138580,GPL27583,1000,Tuberculosis,C0041296,Bone marrow,GEO,RNA-Seq,Mus musculus,2|3,"MONDO:A chronic, recurrent infection caused by the bacterium Mycobacterium tuberculosis. Tuberculosis (TB) may affect almost any tissue or organ of the body with the lungs being the most common site of infection. The clinical stages of TB are primary or initial infection, latent or dormant infection, and recrudescent or adult-type TB. Ninety to 95% of primary TB infections may go unrecognized. Histopathologically, tissue lesions consist of granulomas which usually undergo central caseation necrosis. Local symptoms of TB vary according to the part affected; acute symptoms include hectic fever, sweats, and emaciation; serious complications include granulomatous erosion of pulmonary bronchi associated with hemoptysis. If untreated, progressive TB may be associated with a high degree of mortality. This infection is frequently observed in immunocompromised individuals with AIDS or a history of illicit IV drug use."
DSA03144,GSE138614,GPL21697,1000,Multiple Sclerosis,C0026769,Brain,GEO,RNA-Seq,Homo sapiens,25|73,DO:A demyelinating disease that involves damage to the fatty myelin sheaths around the axons of the brain and spinal cord resulting in demyelination and scarring.
DSA03145,GSE138669,GPL18573,1000,Systemic Sclerosis [Scleroderma],C2364016,Skin,GEO,scRNA-Seq,Homo sapiens,10|12,
DSA03146,GSE18216,GPL1261,1000,Breast Cancer,C0678222,Breast,GEO,Microarray,Mus musculus,3|5,DO:A breast cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA03147,GSE138695,GPL18573,1000,Alzheimer's Disease,C0002395,Brain,GEO,RNA-Seq,Homo sapiens,3|3,"DO:An Alzheimer's disease that has_material_basis_in mutation heterozygous mutation in the APP gene, which encodes the amyloid precursor protein, on chromosome 21q21."
DSA03148,GSE138702,GPL21290,1000,Acute Myeloid Leukemia (Aml-M2),C1879321,Bone marrow,GEO,RNA-Seq,Homo sapiens,10|9,DO:A myeloid leukemia that is characterized by the rapid growth of abnormal white blood cells that accumulate in the bone marrow and interfere with the production of normal blood cells.
DSA03149,GSE138784,GPL18573,1000,Severe Combined Immunodeficiency,C0085110,,GEO,RNA-Seq,Homo sapiens,3|3,"DO:A severe combined immunodeficiency that is characterized by deficiency of MHC class II molecules that causes lack of immune protection against bacteria, viruses, and fungi and thus causes early death in childhood, and has_material_basis_in autosomal recessive inheritance of mutation in the CIITA, RFX5, RFXANK, and RFXAP genes."
DSA03150,GSE138784,GPL18573,1000,Severe Combined Immunodeficiency,C0085110,,GEO,RNA-Seq,Homo sapiens,3|3,"DO:A severe combined immunodeficiency that is characterized by deficiency of MHC class II molecules that causes lack of immune protection against bacteria, viruses, and fungi and thus causes early death in childhood, and has_material_basis_in autosomal recessive inheritance of mutation in the CIITA, RFX5, RFXANK, and RFXAP genes."
DSA03151,GSE21444,GPL1261,1000,Invasive Breast Carcinoma,C0853879,Breast,GEO,Microarray,Mus musculus,5|5,"EFO:A carcinoma that infiltrates the breast parenchyma. The vast majority are adenocarcinomas arising from the terminal ductal lobular unit (TDLU). Often, the invasive adenocarcinoma co-exists with ductal or lobular carcinoma in situ. It is the most common carcinoma affecting women."
DSA03152,GSE138852,GPL18573,1000,Alzheimer's Disease,C0002395,Entorhinal cortex,GEO,scRNA-Seq,Homo sapiens,3|3,"DO:An Alzheimer's disease that has_material_basis_in mutation heterozygous mutation in the APP gene, which encodes the amyloid precursor protein, on chromosome 21q21."
DSA03153,GSE138861,GPL23159,44,Myeloid Leukemia Associated With Down Syndrome,C2825149,,GEO,Microarray,Homo sapiens,5|8,"NCI:Acute myeloid leukemia or myelodysplastic syndrome occurring in children with Down syndrome.  The acute myeloid leukemia is usually an acute megakaryoblastic leukemia, and is associated with GATA1 gene mutation."
DSA03154,GSE138861,GPL23159,0,Acute Megakaryoblastic Leukemia,C0023462,Mesenchyme,GEO,Microarray,Homo sapiens,5|5,DO:An acute myeloid leukemia that derives from blood-forming tissue in which megakaryocytes proliferate in the bone marrow and circulate in the blood in large numbers.
DSA03155,GSE138883,GPL16686,13,Acute Myeloid Leukemia (Aml-M2),C1879321,Bone marrow,GEO,Microarray,Homo sapiens,3|3,DO:A myeloid leukemia that is characterized by the rapid growth of abnormal white blood cells that accumulate in the bone marrow and interfere with the production of normal blood cells.
DSA03156,GSE138883,GPL16686,8,Chronic Myeloid Leukemia,C0023473,,GEO,Microarray,Homo sapiens,3|3,DO:A myeloid leukemia that is characterized by over production of white blood cells.
DSA03157,GSE138883,GPL16686,21,Acute Myeloid Leukemia (Aml-M2),C1879321,Bone marrow,GEO,Microarray,Homo sapiens,3|3,DO:A myeloid leukemia that is characterized by the rapid growth of abnormal white blood cells that accumulate in the bone marrow and interfere with the production of normal blood cells.
DSA03158,GSE138883,GPL16686,116,Chronic Myeloid Leukemia,C0023473,,GEO,Microarray,Homo sapiens,3|3,DO:A myeloid leukemia that is characterized by over production of white blood cells.
DSA03159,GSE139038,GPL27630,184,Breast Cancer,C0678222,Breast,GEO,Microarray,Homo sapiens,6|41,DO:A breast cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
